case,worked_region_id,tier,item_type,item_id,source_id,source_or_file,item_text,source_excerpt_or_support,map_context,review_question,falsification_prompt,allowed_decisions,reviewer_decision,confidence,required_revision,reviewer_notes
LHC black holes,lhc_cosmic_ray_argument,1,relation,lhc_r004,,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,lhc_c012 --supports--> lhc_c004: GM's trapping analysis provides the technical version of the velocity caveat.,"lhc_c012 excerpt: ""For a black hole to get trapped... its speed should not exceed the escape velocity... Earth density does not provide enough material to stop a highly relativistic black hole, such as those produced by cosmic rays... some slow-down will typically arise for non-relativistic black holes produced at the LHC."" | lhc_c004 excerpt: ""One significant difference... any massive new particles produced by the LHC collisions will tend to have low velocities, whereas cosmic-ray collisions would produce them with high velocities.""","source_claim=GM explicitly analyze the trapping difference: highly relativistic cosmic-ray black holes are hard to stop in Earth, while non-relativistic LHC black holes may slow and be captured. | target_claim=The cosmic-ray analogy has a velocity caveat because LHC products may be slower and more trappable than cosmic-ray products.","Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,relation,lhc_r016,,examples/lhc_black_holes/worked_region_cosmic_ray_map.md,"lhc_c004 --similar_to--> lhc_c012: Both claims preserve the velocity/trapping distinction, with LSAG giving the high-level caveat and GM giving the technical analysis.","lhc_c004 excerpt: ""One significant difference... any massive new particles produced by the LHC collisions will tend to have low velocities, whereas cosmic-ray collisions would produce them with high velocities."" | lhc_c012 excerpt: ""For a black hole to get trapped... its speed should not exceed the escape velocity... Earth density does not provide enough material to stop a highly relativistic black hole, such as those produced by cosmic rays... some slow-down will typically arise for non-relativistic black holes produced at the LHC.""","source_claim=The cosmic-ray analogy has a velocity caveat because LHC products may be slower and more trappable than cosmic-ray products. | target_claim=GM explicitly analyze the trapping difference: highly relativistic cosmic-ray black holes are hard to stop in Earth, while non-relativistic LHC black holes may slow and be captured.","Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,loss,lhc_loss_001,,examples/lhc_black_holes/decision_space_erosion_audit.md,"The flat baseline says the velocity issue was studied but does not preserve the explicit dependence between low LHC product velocities, Earth trapping, and why Earth cosmic-ray survival alone is not the whole argument.",`lsag_2008_safety_review` lines 292-298; `giddings_mangano_2008_stable_black_holes` lines 3600-3641.,"case_map_preserves=`lhc_c004`, `lhc_c012`, `lhc_r003`, `lhc_r004`, `lhc_r016`.; flat_baseline_omission=The baseline mentions slower LHC products in one sentence without the trapping mechanism or relation to the natural-exposure proof.; adversarial_check=survives, because the caveat is in the fixed source subset and directly affects the strength of the cosmic-ray analogy.",Is this a fair decision-space erosion finding when compared with the baseline?,"Mark revise or reject if the flat synthesis preserved the distinction well enough, or if the distinction is not decision-relevant.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,loss,lhc_loss_002,,examples/lhc_black_holes/decision_space_erosion_audit.md,"The flat baseline treats compact-star evidence as one safety layer and loses the white-dwarf versus neutron-star split, including the stronger LHC-energy scope of white dwarfs and the broader but more assumption-dependent neutron-star argument.",`spc_2008_lsag_review` lines 130-137; `giddings_mangano_2008_stable_black_holes` lines 2415-2460.,"case_map_preserves=`lhc_c009`, `lhc_c011`, `lhc_r009`, `lhc_r014`.; flat_baseline_omission=The baseline lists white dwarfs and neutron stars together and says the technical arguments vary by assumptions, but it does not keep their different evidential roles navigable.; adversarial_check=survives, because the distinction is source-supported and important for LHC-specific versus future-collider inference.",Is this a fair decision-space erosion finding when compared with the baseline?,"Mark revise or reject if the flat synthesis preserved the distinction well enough, or if the distinction is not decision-relevant.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,loss,lhc_loss_005,,examples/lhc_black_holes/decision_space_erosion_audit.md,The flat baseline reports that GM found Plaga's assumptions inconsistent but does not preserve the two separate response threads: a 23-order-of-magnitude power-output dispute and a challenge to Eddington-limited accretion/microcanonical assumptions.,`giddings_mangano_2008_comments_plaga` lines 61-105.,"case_map_preserves=`lhc_c015`, `lhc_c016`, `lhc_r011`, `lhc_r012`, `lhc_r013`.; flat_baseline_omission=The baseline mentions an erroneous power calculation but does not show how the response splits into calculation, accretion, and literature/quotation objections.; adversarial_check=survives, because the response rationale determines whether the critique is merely institutionally rejected or technically answered.",Is this a fair decision-space erosion finding when compared with the baseline?,"Mark revise or reject if the flat synthesis preserved the distinction well enough, or if the distinction is not decision-relevant.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,loss,lhc_loss_006,,examples/lhc_black_holes/decision_space_erosion_audit.md,"The flat baseline merges Earth, Sun, and broader stellar exposure into one natural-exposure claim, making it harder to see how the observational base scales from Earth-specific reassurance to wider astronomical constraints.",`lsag_2008_safety_review` lines 175-207; `spc_2008_lsag_review` lines 43-65.,"case_map_preserves=`lhc_c001`, `lhc_c002`, `lhc_c003`, `lhc_c007`, `lhc_r001`, `lhc_r002`, `lhc_r005`.; flat_baseline_omission=The baseline gives examples of astronomical survival but does not preserve Earth exposure, solar exposure, and universe-wide exposure as distinct support nodes.; adversarial_check=survives, because the source subset explicitly separates these scales and they affect how robust the analogy appears.",Is this a fair decision-space erosion finding when compared with the baseline?,"Mark revise or reject if the flat synthesis preserved the distinction well enough, or if the distinction is not decision-relevant.",accept|revise|reject|needs_discussion,pending,,,
LHC black holes,lhc_cosmic_ray_argument,1,overall,lhc_overall,,docs/review/REVIEWER_START_HERE.md,Overall judgment for this worked region.,"Use the completed Tier 1 claim, relation, and loss rows.","Scores: source_fidelity, relation_correctness, crux_usefulness, flat_synthesis_fairness, reasoning_utility.","Is this worked region showable with stated limits, or does it require revision first?",Mark needs_discussion or revise if any accepted claim depends on unresolved source-fidelity or relation-correctness problems.,accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,claim,eggs_c004,aha_2019_dietary_cholesterol_pubmed,examples/eggs/worked_region_observational_vs_rct_map.md,"The AHA advisory separates observational CVD outcome evidence, which generally lacks significant association, from intervention lipid evidence, which often shows elevated total or LDL cholesterol at higher intakes.","""Observational studies... generally does not indicate a significant association with cardiovascular disease risk... intervention studies... associate intakes... with elevated total or low-density lipoprotein cholesterol.""",role=method split; span=lines 122-124; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,claim,eggs_c008,bmj_2020_egg_consumption_cvd,examples/eggs/worked_region_observational_vs_rct_map.md,BMJ 2020 reports no overall CVD association for moderate egg consumption up to one egg per day in its cohorts and updated meta-analysis.,"""Consumption of at least one egg per day was not associated with incident cardiovascular disease risk... moderate egg consumption (up to one egg per day) is not associated with cardiovascular disease risk overall.""",role=observational outcome; span=lines 40-43; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,claim,eggs_c012,jama_2019_dietary_cholesterol_eggs,examples/eggs/worked_region_observational_vs_rct_map.md,"JAMA 2019 reports positive dose-response associations for dietary cholesterol and eggs, with egg associations attenuating after adjustment for dietary cholesterol.","""Each additional 300 mg... dietary cholesterol... higher risk of incident CVD... each additional half an egg... higher risk... associations between egg consumption... were no longer significant after adjusting for dietary cholesterol consumption.""",role=observational outcome; span=lines 33-52; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,claim,eggs_c015,li_2020_egg_cholesterol_rct_meta,examples/eggs/worked_region_observational_vs_rct_map.md,"Li 2020 is randomized evidence in healthy participants, but it measures lipid markers rather than long-term CVD events.","""Only included randomized controlled trials... healthy populations... pooled results showed... higher LDL-c/HDL-c ratio... higher LDL-c... RCTs with long term follow-up are needed.""",role=randomized biomarker evidence; span=lines 30-36; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,claim,eggs_c016,li_2020_egg_cholesterol_rct_meta,examples/eggs/worked_region_observational_vs_rct_map.md,"Li reports higher LDL-c/HDL-c ratio and LDL-c with more egg consumption, while HDL-c does not significantly change in the pooled analysis.","""More egg consumption... significant elevation... LDL-c/HDL-c ratio... significantly higher concentration of LDL-c... did not show significant difference... HDL-c.""",role=randomized biomarker evidence; span=lines 188-201; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,claim,eggs_c018,nnr_2023_eggs_scoping_review,examples/eggs/worked_region_observational_vs_rct_map.md,"NNR synthesizes the tension by treating RCT lipid changes as heterogeneous warning signals while observational evidence gives little support for harm from up to one egg per day, especially in European studies.","""RCTs suggest lipid changes with substantial heterogeneity... observational studies does not provide strong support for a detrimental role of moderate egg consumption... up to one egg/day... one egg/day is unlikely to adversely affect overall disease risk.""",role=umbrella synthesis; span=lines 30-41; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,claim,eggs_c019,nnr_2023_eggs_scoping_review,examples/eggs/worked_region_observational_vs_rct_map.md,"NNR's egg review is a scoping review built from existing reviews rather than a de novo qualified systematic review, limiting how strongly it can settle the question.","""No de novo systematic reviews or qualified systematic reviews available... literature search... 38 articles... systematic review or meta-analysis... most recent and comprehensive meta-analyses were chosen.""",role=evidence-grade caveat; span=lines 42-52; entailed_by_excerpt=yes,Does the excerpt/source support this exact claim without making it too strong?,"Mark revise or reject if the claim adds causal force, certainty, scope, or consensus not present in the source.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,relation,eggs_r003,,examples/eggs/worked_region_observational_vs_rct_map.md,eggs_c012 --in_tension_with--> eggs_c008: JAMA's positive dose-response association and BMJ's null moderate-intake conclusion point in different directions and require method/context comparison.,"eggs_c012 excerpt: ""Each additional 300 mg... dietary cholesterol... higher risk of incident CVD... each additional half an egg... higher risk... associations between egg consumption... were no longer significant after adjusting for dietary cholesterol consumption."" | eggs_c008 excerpt: ""Consumption of at least one egg per day was not associated with incident cardiovascular disease risk... moderate egg consumption (up to one egg per day) is not associated with cardiovascular disease risk overall.""","source_claim=JAMA 2019 reports positive dose-response associations for dietary cholesterol and eggs, with egg associations attenuating after adjustment for dietary cholesterol. | target_claim=BMJ 2020 reports no overall CVD association for moderate egg consumption up to one egg per day in its cohorts and updated meta-analysis.","Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,relation,eggs_r005,,examples/eggs/worked_region_observational_vs_rct_map.md,"eggs_c015 --depends_on--> eggs_c016: The biomarker result depends on the RCT endpoint scope: LDL-c and LDL-c/HDL-c, not direct CVD outcomes.","eggs_c015 excerpt: ""Only included randomized controlled trials... healthy populations... pooled results showed... higher LDL-c/HDL-c ratio... higher LDL-c... RCTs with long term follow-up are needed."" | eggs_c016 excerpt: ""More egg consumption... significant elevation... LDL-c/HDL-c ratio... significantly higher concentration of LDL-c... did not show significant difference... HDL-c.""","source_claim=Li 2020 is randomized evidence in healthy participants, but it measures lipid markers rather than long-term CVD events. | target_claim=Li reports higher LDL-c/HDL-c ratio and LDL-c with more egg consumption, while HDL-c does not significantly change in the pooled analysis.","Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,relation,eggs_r006,,examples/eggs/worked_region_observational_vs_rct_map.md,eggs_c016 --in_tension_with--> eggs_c008: Randomized lipid-marker worsening can coexist with observational null CVD outcome findings but should not be collapsed into them.,"eggs_c016 excerpt: ""More egg consumption... significant elevation... LDL-c/HDL-c ratio... significantly higher concentration of LDL-c... did not show significant difference... HDL-c."" | eggs_c008 excerpt: ""Consumption of at least one egg per day was not associated with incident cardiovascular disease risk... moderate egg consumption (up to one egg per day) is not associated with cardiovascular disease risk overall.""","source_claim=Li reports higher LDL-c/HDL-c ratio and LDL-c with more egg consumption, while HDL-c does not significantly change in the pooled analysis. | target_claim=BMJ 2020 reports no overall CVD association for moderate egg consumption up to one egg per day in its cohorts and updated meta-analysis.","Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,relation,eggs_r007,,examples/eggs/worked_region_observational_vs_rct_map.md,eggs_c017 --refines--> eggs_c016: Duration and dose caveats qualify the interpretation of the LDL-c and LDL-c/HDL-c findings.,"eggs_c017 excerpt: ""Results did not show a clear trend... longer-term high egg-consumption may lead to higher LDL-c/HDL-c ratio and LDL-c... RCTs with long term follow-up are needed."" | eggs_c016 excerpt: ""More egg consumption... significant elevation... LDL-c/HDL-c ratio... significantly higher concentration of LDL-c... did not show significant difference... HDL-c.""","source_claim=Li's RCT synthesis suggests longer duration may matter but does not establish a clean dose trend or long-term health-outcome effect. | target_claim=Li reports higher LDL-c/HDL-c ratio and LDL-c with more egg consumption, while HDL-c does not significantly change in the pooled analysis.","Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,relation,eggs_r015,,examples/eggs/worked_region_observational_vs_rct_map.md,eggs_c004 --crux_for--> eggs_c018: How to weigh observational outcomes against intervention lipid markers is a crux for the overall egg recommendation.,"eggs_c004 excerpt: ""Observational studies... generally does not indicate a significant association with cardiovascular disease risk... intervention studies... associate intakes... with elevated total or low-density lipoprotein cholesterol."" | eggs_c018 excerpt: ""RCTs suggest lipid changes with substantial heterogeneity... observational studies does not provide strong support for a detrimental role of moderate egg consumption... up to one egg/day... one egg/day is unlikely to adversely affect overall disease risk.""","source_claim=The AHA advisory separates observational CVD outcome evidence, which generally lacks significant association, from intervention lipid evidence, which often shows elevated total or LDL cholesterol at higher intakes. | target_claim=NNR synthesizes the tension by treating RCT lipid changes as heterogeneous warning signals while observational evidence gives little support for harm from up to one egg per day, especially in European studies.","Is this relation type and rationale fair, or should the edge be weakened, retagged, or removed?","Mark revise or reject if the edge would make a reviewer infer stronger support, challenge, dependency, or crux status than the sources justify.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,loss,eggs_loss_003,,examples/eggs/decision_space_erosion_audit.md,"The flat baseline mentions high LDL and diabetes, but does not preserve these as separate subgroup caveats with different source bases and implications.",`aha_2023_dietary_cholesterol_news` lines 56-62; `bmj_2020_egg_consumption_cvd` lines 524-532.,"case_map_preserves=`eggs_c007`, `eggs_c009`, `eggs_r010`, `eggs_r017`.; flat_baseline_omission=High LDL and diabetes appear in a final caveat list rather than as claims that qualify different parts of the recommendation.; adversarial_check=survives, because subgroup caveats are in the fixed sources and materially affect dietary advice.",Is this a fair decision-space erosion finding when compared with the baseline?,"Mark revise or reject if the flat synthesis preserved the distinction well enough, or if the distinction is not decision-relevant.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,loss,eggs_loss_005,,examples/eggs/decision_space_erosion_audit.md,"The flat baseline treats federal and AHA guidance as advice but does not preserve that DGA is a preponderance-of-evidence policy process using systematic review, data analysis, and food-pattern modeling.",`dga_2020_2025_pmc_summary` lines 31-37 and 54-60.,"case_map_preserves=`eggs_c001`, `eggs_c002`, `eggs_c003`, `eggs_r013`.; flat_baseline_omission=The baseline cites guideline direction but does not show why guideline documents should be separated from individual evidence studies.; adversarial_check=survives, because the guideline-process distinction is in the source subset and affects how evidence is converted into advice.",Is this a fair decision-space erosion finding when compared with the baseline?,"Mark revise or reject if the flat synthesis preserved the distinction well enough, or if the distinction is not decision-relevant.",accept|revise|reject|needs_discussion,pending,,,
Eggs and health,eggs_observational_vs_rct,1,loss,eggs_loss_006,,examples/eggs/decision_space_erosion_audit.md,The flat baseline uses NNR as a total-picture summary but does not preserve that the NNR egg review was a scoping review without de novo or qualified systematic reviews for the egg topic.,`nnr_2023_eggs_scoping_review` lines 42-52.,"case_map_preserves=`eggs_c018`, `eggs_c019`, `eggs_r014`.; flat_baseline_omission=The baseline summarizes NNR's conclusion without the evidence-grade caveat.; adversarial_check=survives, because the limitation affects confidence in the umbrella conclusion and is explicitly in the fixed source subset.",Is this a fair decision-space erosion finding when compared with the baseline?,"Mark revise or reject if the flat synthesis preserved the distinction well enough, or if the distinction is not decision-relevant.",accept|revise|reject|needs_discussion,pending,,,
